"Average greedy latency,",mask/active_rate,mask/forced_rate,mask/all_invalid_rate,policy/invalid_action_rate,policy/argmax_masked_rate,policy/entropy_valid,critic/value_abs_max,inner_update_mode,PolicyExecTime,EnvExecTime,AverageDiscountedReturn,AverageReturn,NumTrajs,StdReturn,MaxReturn,MinReturn,"Average energy,",Itr,"Average reward, ","Average latency,",split_role,seed,split_version,support_graphs_per_meta_task,support_trajectories_per_meta_task,query_graph_count,k_steps,outer_update_count,entropy_coefficient,value_clip_epsilon,ppo_batch_size_trajectories,meta_batch_size_distributions,inner_learning_rate,outer_learning_rate,outer_update_method,hyperparameter_provenance.policy,validation_query_composite_objective_k0,validation_query_composite_objective,validation_query_mean_latency_k0,validation_query_mean_latency_k3,checkpoint_selection_metric,checkpoint_is_best_val
623.5231310930933,0.0,0.0,0.0,0.0,0.0,1.0948013887351489,0.18540477752685547,publication,35.28321599960327,69.82485294342041,0.5179137066511754,0.5603137272162246,10000,0.12691998426547824,0.9660796933598037,-0.42869748764571103,797.8860236031286,0,0.5603137272162246,981.3536522672638,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,1,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,0.5994006937562771,0.6235384801075345,979.7037616016208,925.5658141146362,validation_query_composite_objective,1
617.191951992389,0.0,0.0,0.0,0.0,0.0,1.0273176398554977,0.5049988627433777,publication,36.67253232002258,69.7958722114563,0.5678301717728584,0.6142254275838072,10000,0.10411796523502663,0.960065840753761,-0.0017864104001759085,740.346526520933,1,0.6142254275838072,914.7958066961983,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,2,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
585.2707312858854,0.0,0.0,0.0,0.0,0.0,0.9675435849452281,0.8553747534751892,publication,37.23401474952698,68.03892874717712,0.6406711804566274,0.695562343830897,10000,0.10407810667575161,1.0750372930931515,0.14411902633821017,605.1660254785878,2,0.695562343830897,818.4110111325155,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,3,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
605.7362087066786,0.0,0.0,0.0,0.0,0.0,0.8966367228033658,1.189809799194336,publication,37.52537822723389,68.55380821228027,0.6766761432681496,0.7353648254410534,10000,0.10450267799252656,1.0528726168208438,0.22196619033689924,525.2253531760953,3,0.7353648254410534,765.7794393806416,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,4,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
605.3485033679281,0.0,0.0,0.0,0.0,0.0,0.8393324050945867,1.175662636756897,publication,37.63996124267578,69.2293312549591,0.6802683341666399,0.7388569804209018,10000,0.10674750037482797,1.0516844717979406,0.1483242215747782,534.3338195710513,4,0.7388569804209018,756.3311815639196,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,5,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
600.1799012578556,0.0,0.0,0.0,0.0,0.0,0.7968252942292878,0.9629043340682983,publication,37.48846483230591,68.0969967842102,0.7066071570303682,0.7681205431592566,10000,0.10114959802449337,1.0666969178386123,0.20818603652464296,505.0684232768986,5,0.7681205431592566,728.1254893959523,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,6,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
615.2842793975285,0.0,0.0,0.0,0.0,0.0,0.7593563836532633,0.7907438278198242,publication,37.5071120262146,68.69968008995056,0.7040288008959704,0.7622615475670075,10000,0.1035102165823022,1.0590408980960488,0.29892681481912176,496.9633559560182,6,0.7622615475670075,764.5567962351553,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,7,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
603.9421731752532,0.0,0.0,0.0,0.0,0.0,0.7210362609098945,0.6592391729354858,publication,37.0484721660614,69.01044631004333,0.7449749979911873,0.8075404038406129,10000,0.1068326094204121,1.070076978048335,0.27391222598380827,382.4650348863223,7,0.8075404038406129,727.7122149737331,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,8,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
600.3885777622087,0.0,0.0,0.0,0.0,0.0,0.6682405124252184,0.6293349862098694,publication,35.61028981208801,69.90490245819092,0.7710866118404869,0.83893439889602,10000,0.10664257432365072,1.1035767700017376,0.2450538217732423,290.99194988313417,8,0.83893439889602,683.7638849380493,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,9,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
618.6568553879873,0.0,0.0,0.0,0.0,0.0,0.5931235588765175,0.6536148190498352,publication,36.71579098701477,69.23438668251038,0.78200843281167,0.8490332880151764,10000,0.11329532978051657,1.069182469494016,0.39592508519371206,284.84432455742876,9,0.8490332880151764,697.6304734532996,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,10,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
