"Average greedy latency,",mask/active_rate,mask/forced_rate,mask/all_invalid_rate,policy/invalid_action_rate,policy/argmax_masked_rate,policy/entropy_valid,critic/value_abs_max,inner_update_mode,PolicyExecTime,EnvExecTime,AverageDiscountedReturn,AverageReturn,NumTrajs,StdReturn,MaxReturn,MinReturn,"Average energy,",Itr,"Average reward, ","Average latency,",split_role,seed,split_version,support_graphs_per_meta_task,support_trajectories_per_meta_task,query_graph_count,k_steps,outer_update_count,entropy_coefficient,value_clip_epsilon,ppo_batch_size_trajectories,meta_batch_size_distributions,inner_learning_rate,outer_learning_rate,outer_update_method,hyperparameter_provenance.policy,validation_query_composite_objective_k0,validation_query_composite_objective,validation_query_mean_latency_k0,validation_query_mean_latency_k3,checkpoint_selection_metric,checkpoint_is_best_val
623.5231310930933,0.0,0.0,0.0,0.0,0.0,1.0961478823802395,0.31908559799194336,publication,33.50901484489441,69.28822112083435,0.5110793375614959,0.5536364566813025,10000,0.12274094083392827,0.918984405467651,-0.16038711618931756,849.4175062976626,0,0.5536364566813025,955.9195745996011,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,1,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,0.5407967731964866,0.5582044943433105,981.6643158906606,931.9226018677912,validation_query_composite_objective,1
617.191951992389,0.0,0.0,0.0,0.0,0.0,1.0721190395525577,0.21487726271152496,publication,34.05468559265137,68.97762537002563,0.5293224805147659,0.5771567525343436,10000,0.10331060861146071,0.897501045997118,-0.06700481247690393,887.9577008584878,1,0.5771567525343436,903.8534107252326,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,2,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
585.2707312858854,0.0,0.0,0.0,0.0,0.0,0.9974090445633635,0.28450554609298706,publication,35.06218934059143,67.92626023292542,0.539645565960822,0.5895808589224436,10000,0.10624976020268154,0.9479213435305481,-0.007008929650355045,855.6557127231893,2,0.5895808589224436,907.618752507301,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,3,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
605.7362087066786,0.0,0.0,0.0,0.0,0.0,0.9448739175667504,0.3581189811229706,publication,34.76532196998596,68.41397452354431,0.5891205917473074,0.6431562663133354,10000,0.10771286821077765,0.9909245576384482,0.05589175422972348,746.6920597193101,3,0.6431562663133354,834.0745357232435,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,4,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
605.3485033679281,0.0,0.0,0.0,0.0,0.0,0.9219756855887911,0.37632912397384644,publication,34.63655424118042,69.02350115776062,0.6184191452583438,0.6741979598883868,10000,0.10237524610275602,1.008936504086164,0.09807190092248508,690.6702402782196,4,0.6741979598883868,801.9668798387704,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,5,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
600.1799012578556,0.0,0.0,0.0,0.0,0.0,0.9057583850197328,0.34303683042526245,publication,35.61929130554199,68.88563537597656,0.6572165477880744,0.7183666866289328,10000,0.10106452009207596,1.056165309417889,0.23852176634362365,617.1113727948244,5,0.7183666866289328,782.6896560044139,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,6,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
615.2842793975285,0.0,0.0,0.0,0.0,0.0,0.8945550551238991,0.27376216650009155,publication,34.946964502334595,68.98220086097717,0.6824924318252399,0.7427337309823517,10000,0.09885568828077898,1.070067812406595,0.22719876567698805,556.3289574989412,6,0.7427337309823517,777.2511573102787,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,7,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
603.9421731752532,0.0,0.0,0.0,0.0,0.0,0.8646601341635034,0.20057155191898346,publication,35.40372610092163,69.23923397064209,0.6966222762019099,0.7590446122638312,10000,0.10462185084000043,1.0663822466925266,0.23699345833569252,513.6626304560373,7,0.7590446122638312,759.4429242849922,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,8,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
600.3885777622087,0.0,0.0,0.0,0.0,0.0,0.8219197685451519,0.10273780673742294,publication,33.956886768341064,68.48554801940918,0.69661259495609,0.760046141300219,10000,0.10617237970437314,1.0896288467631268,0.0804267209315479,478.2651774273807,8,0.760046141300219,732.3115243475696,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,9,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
618.6568553879873,0.0,0.0,0.0,0.0,0.0,0.7788182987157363,0.3743160367012024,publication,33.82080030441284,68.19406509399414,0.6999670524961517,0.7615119950851348,10000,0.10029935273853942,1.0507159986508086,0.20752138351371263,494.9887481385138,9,0.7615119950851348,756.0060328151062,meta_train_support,0,MARGO-SPLIT-v1,20,20,80,3,10,0.0,0.2,20,10,0.0005,0.0005,mrlco_first_order_mean_pseudogradient,fixed_literature_derived_defaults,,,,,,
